City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
589,Kahului,US,82.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
590,Beroroha,MG,76.69,few clouds,-21.6667,45.1667,
593,Birao,CF,78.22,overcast clouds,10.2849,22.7882,
598,Libreville,GA,76.48,overcast clouds,0.3925,9.4537,Hotel Kreg Le Patio
602,Fayaoue,NC,77.99,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
607,Turbat,PK,75.42,few clouds,26.0023,63.044,Mubashar Quarters
609,Umm Lajj,SA,79.52,few clouds,25.0213,37.2685,Moon light Furnished Units
611,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
613,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
614,Dingle,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
623,Coahuayana,MX,84.24,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
624,Vallenar,CL,76.03,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
625,Port Moresby,PG,81.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
632,Laguna De Perlas,NI,86.09,overcast clouds,12.3429,-83.6712,Hotel Best View
636,Villa Guerrero,MX,76.28,light rain,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
638,Praya,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
640,Simbahan,PH,83.17,overcast clouds,6.3032,120.5836,
643,Sinnamary,GF,77.16,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
647,Auki,SB,81.84,broken clouds,-8.7676,160.7034,Auki Motel
654,Monrovia,LR,78.84,broken clouds,6.3005,-10.7969,Sunset Inn
656,Umm Kaddadah,SD,80.82,broken clouds,13.6017,26.6876,
657,Biloela,AU,78.03,few clouds,-24.4167,150.5,Silo Motor Inn Biloela
658,Grand-Santi,GF,75.83,light rain,4.25,-54.3833,Hotel La Villa Couacou
662,Batticaloa,LK,76.89,overcast clouds,7.7102,81.6924,Grand Star Guest House
666,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
671,Encantado,BR,78.04,overcast clouds,-29.2361,-51.8697,São Leopoldo/rs
672,Carire,BR,89.73,overcast clouds,-3.9506,-40.4733,POUSADA PAIVA
673,Jaque,PA,79.81,broken clouds,7.5175,-78.1703,Aventuras Jaque S.A
674,Lorengau,PG,84.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
675,Sur,OM,75.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
676,Kudahuvadhoo,MV,80.82,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
681,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
682,Itoman,JP,77.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
686,Mecca,SA,80.87,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
687,Morondava,MG,77.5,light rain,-20.2833,44.2833,La Case Bambou
689,Totolapan,MX,77.54,scattered clouds,18.5167,-96.1833,El bolso de los ruiz
694,Ewa Beach,US,85.98,clear sky,21.3156,-158.0072,Base Lodging
